,date,lon,lat,type,elevation,Barren,Cultivated and Managed Vegetation,Deciduous Broadleaf Trees,Evergreen Broadleaf Trees,Evergreen Deciduous Needleleaf Trees,Herbaceous Vegetation,Mixed-Other Trees,Open Water,Regularly Flooded Vegetation,Shrubs,Snow-Ice,Urban-Built-up,distance_light,distance_water,Temperature,U_Wind,V_wind,Precipitation,NDVI,Pop,year_precipitation,month
26,2016/5/28,117.4760513,48.59112952,0,633,0,69,0,0,0,31,0,0,0,0,0,0,39.88226185,13.40104921,284.7680185,2.8533760480000003,-0.110578231,0.000215451,0.303975,0,275,5
27,2019/1/24,113.1304235,29.61392928,0,26,0,100,0,0,0,0,0,0,0,0,0,0,9.465756993,5.848921093,279.97504530000003,-0.515748407,-0.674292288,1.82e-06,0.415654981,251,1274,1
28,2019/2/28,116.2088704,29.81426563,1,13,0,69,0,0,0,0,0,6,26,0,0,0,7.1209271639999985,0.0,280.7204677,-0.5698377920000001,-1.606449894,0.00379989,0.259219995,292,1446,2
29,2018/12/25,121.964774,48.95564705,0,880,36,17,0,0,6,0,42,0,0,0,0,0,34.31769565,40.41171245,251.2209691,3.4110579660000004,-1.366175971,5.16e-05,0.174269995,0,510,12
30,2012/11/19,115.32930790000002,29.15323756,0,267,0,17,0,22,8,0,35,0,0,19,0,0,25.47750944,7.028819978,283.1908351,0.093464511,-0.2076768,0.003921698,0.73320498,20,1390,11
31,2015/7/20,94.58989143,36.38714232,0,2818,41,27,0,0,0,32,0,0,0,0,0,0,28.89895889,50.63762837,291.9437735,2.507616264,-0.7317202140000001,3.23e-06,0.092470001,174,37,7
32,2014/10/31,128.02902,43.57962,1,490,27,43,0,0,16,0,2,12,0,0,0,0,6.8804024089999976,0.0,275.90304130000004,1.670642444,-0.292018826,0.000298176,0.364975,49,650,10
33,2014/9/22,106.0954618,30.81673391,0,293,0,24,0,0,0,1,4,27,0,0,0,43,0.0,0.0,295.4899772,-0.594913244,-0.146391988,0.001015086,0.459075,15225,1041,9
34,2016/6/19,134.606823,48.149693,1,40,0,18,0,0,5,16,25,36,0,0,0,0,23.87187247,0.0,292.8623308,-0.980353968,1.028644673,0.001325373,0.7087,7,665,6
35,2016/3/11,109.5705923,33.43530631,0,686,0,36,15,0,0,0,25,0,0,25,0,0,34.28949481,45.03347683,277.3019889,-0.58927103,-0.06270055,0.000838557,0.36458501,70,770,3
36,2016/5/18,83.30561281,39.43148732,0,1076,100,0,0,0,0,0,0,0,0,0,0,0,6.7471576460000025,215.167592,294.9702628,-1.23503559,-0.942870619,4.8e-05,0.057540002,0,22,5
37,2016/5/18,129.09318000000002,63.40434000000001,1,80,0,0,0,0,55,0,22,0,0,22,0,0,46.20749779,0.368343739,279.1305673,0.994811807,-0.431827013,0.000663416,0.45840498,0,243,5
38,2019/3/22,125.6216722,41.70716154,0,708,11,0,23,0,15,0,51,0,0,0,0,0,14.32380478,4.588687827,274.4120353,1.343686904,0.6962152970000001,0.000767691,0.24945,11,935,3
39,2015/10/14,123.18027,45.7583,1,136,45,0,0,0,0,51,0,4,0,0,0,0,12.55000461,0.667444196,282.9086653,1.170872467,-1.2678157,0.000550738,0.216669995,16,407,10
40,2017/10/22,116.7759129,23.4816068,1,2,0,24,0,0,0,15,0,17,7,5,0,32,0.0,0.0,295.8859689,-1.969939547,-2.1215836830000003,0.000131956,0.48783999,4341,1493,10
41,2014/10/8,114.3311429,27.46165161,0,262,0,0,0,31,10,0,59,0,0,0,0,0,30.15265454,9.654294907999999,291.8174482,-0.981803162,-1.176462897,2.63e-06,0.75912002,22,1619,10
42,2016/4/2,88.03667459,30.96325136,0,4889,0,22,0,0,0,78,0,0,0,0,0,0,198.0571266,13.15863094,270.78932410000004,2.340987874,0.094290252,0.000545594,0.124025,0,248,4
43,2015/3/10,97.28366873,35.25681397,0,4703,0,19,0,0,0,81,0,0,0,0,0,0,112.6440074,8.220021229,257.7962341,0.6983754659999999,0.819213195,0.000260149,0.107159998,0,346,3
44,2014/6/9,123.0836,46.31612,1,136,22,0,0,0,0,51,0,24,2,0,0,0,24.43119747,0.214985274,292.6995632,-1.342398626,-1.454636139,0.003586721,0.328175,20,399,6
45,2016/8/8,119.2793958,36.90531261,0,3,0,100,0,0,0,0,0,0,0,0,0,0,7.783005147999999,11.9245738,301.419887,-0.98111231,0.534220853,0.004545054000000001,0.6863,85,628,8
46,2014/9/14,121.94448,45.22248,1,181,27,21,0,0,0,52,0,0,0,0,0,0,46.18914111,2.7794394060000003,289.5264544,1.636283926,0.540796842,0.000152127,0.365119995,8,401,9
47,2014/10/20,91.23428308,43.89472062,0,1575,50,0,0,0,0,27,0,0,0,23,0,0,44.35498799,77.17577242,281.19815939999995,-0.6991066420000001,2.781465424,0.0,0.112959998,1,107,10
