,date,lon,lat,type,temperature,prepicipitation,Barren,Cultivated and Managed Vegetation,Deciduous Broadleaf Trees,Evergreen Broadleaf Trees,Evergreen Deciduous Needleleaf Trees,Herbaceous Vegetation,Mixed-Other Trees,Open Water,Regularly Flooded Vegetation,Shrubs,Snow-Ice,Urban-Built-up,Pop,year_precipitation,elevation,NDVI,distance_light,distance_water,10 metre U wind component,10 metre V wind component
0,2006-01-18,120.76189109999999,28.94850762,0,282.31335,0.0009352118,0,25,0,0,24,0,44,0,0,6,0,0,69,1747.0,676,0.623289990234375,8.782588469889571,10.30558847267208,-0.6745129,-0.8996724
1,2006-03-16,106.426,38.591,1,276.85165,2.6389956000000003e-05,0,100,0,0,0,0,0,0,0,0,0,0,53,197.0,1104,0.1164400024414062,2.9319127118906367,11.173460020149651,-0.2849772,-0.3794093
2,2006-03-19,106.235,38.171,1,280.53424,0.0,0,0,0,0,0,46,0,54,0,0,0,0,192,208.0,1112,0.138775,5.1790006241342565,0.0,-0.6136577,-1.8335752
3,2006-07-17,99.592,36.900999999999996,1,289.5127,0.008245755,0,25,0,0,0,75,0,0,0,0,0,0,6,276.0,3310,0.72684501953125,48.16289383900092,3.803979688372689,-1.5334932,0.63702226
4,2006-07-17,110.73762179999999,41.79630484,0,293.29086,0.0057504512,48,0,0,0,0,52,0,0,0,0,0,0,2,245.0,1465,0.2179949951171875,34.37791759598549,31.95131937777153,3.1663935000000003,0.6124089
5,2006-07-18,99.646,36.944,1,288.97552,0.013412263,0,0,0,0,0,0,0,100,0,0,0,0,0,276.0,3194,0.62902001953125,40.573984400441354,0.03482108926214278,-1.5814979,0.8587655000000001
6,2006-07-18,99.961,37.222,1,289.58295,0.0036069565000000003,0,0,0,0,0,0,0,100,0,0,0,0,0,332.0,3194,0.42452998046875,22.832364460338674,0.0,-2.814466,1.7857906000000003
7,2006-07-18,95.38262046,42.11861353,0,295.60516,3.6358832999999998e-06,100,0,0,0,0,0,0,0,0,0,0,0,0,64.0,1575,0.06693499755859375,42.020207511612114,45.618277318488204,-4.167331,-0.66792834
8,2006-07-18,99.768,36.908,1,290.45648,0.011305038,0,0,0,0,0,0,0,100,0,0,0,0,0,291.0,3194,-0.3,43.85318475609309,0.0,-2.4536252,1.3718401000000002
9,2006-07-19,88.20781697,33.44134771,0,278.56973,0.0020872839,28,0,0,0,0,39,0,0,0,33,0,0,0,189.0,5272,0.1934650024414062,99.64745010181812,11.11580778890687,-0.03064096,1.1274976
10,2006-07-20,99.639,36.942,1,288.43335,0.015749797,0,0,0,0,0,0,0,100,0,0,0,0,0,274.0,3194,0.62902001953125,41.06188790906399,0.0,-1.8481665,0.6316522
11,2006-07-20,91.93800408,43.65891927,0,290.05286,0.0017372929000000002,100,0,0,0,0,0,0,0,0,0,0,0,3,140.0,1940,0.1171550048828125,47.35345164312603,44.9759564998312,1.5411175,-6.292507
